file_name,path,speaker,sentence code,sentence german,sentence,emotion code,emotion,recording version,Duration (seconds),Average Frequency (Hz),Sampling Rate (Hz)
03a01Fa.wav,Data/EmoDB/wav/03a01Fa.wav,03,a01,Der Lappen liegt auf dem Eisschrank.,The cloth is lying on the icebox.,F,Happiness,a,1.89825,4000.0,16000
03a01Nc.wav,Data/EmoDB/wav/03a01Nc.wav,03,a01,Der Lappen liegt auf dem Eisschrank.,The cloth is lying on the icebox.,N,Neutral,c,1.61125,4000.0,16000
03a01Wa.wav,Data/EmoDB/wav/03a01Wa.wav,03,a01,Der Lappen liegt auf dem Eisschrank.,The cloth is lying on the icebox.,W,Anger,a,1.8778125,4000.0,16000
03a02Fc.wav,Data/EmoDB/wav/03a02Fc.wav,03,a02,Das Messer ist in der Schublade.,The knife is in the drawer.,F,Happiness,c,2.00625,4000.0,16000
03a02Nc.wav,Data/EmoDB/wav/03a02Nc.wav,03,a02,Das Messer ist in der Schublade.,The knife is in the drawer.,N,Neutral,c,1.4398125,4000.0,16000
03a02Ta.wav,Data/EmoDB/wav/03a02Ta.wav,03,a02,Das Messer ist in der Schublade.,The knife is in the drawer.,T,Sadness,a,1.7356875,4000.0,16000
03a02Wb.wav,Data/EmoDB/wav/03a02Wb.wav,03,a02,Das Messer ist in der Schublade.,The knife is in the drawer.,W,Anger,b,2.123625,4000.0,16000
03a02Wc.wav,Data/EmoDB/wav/03a02Wc.wav,03,a02,Das Messer ist in der Schublade.,The knife is in the drawer.,W,Anger,c,1.4980625,4000.0,16000
03a04Ad.wav,Data/EmoDB/wav/03a04Ad.wav,03,a04,Heute abend könnte ich es ihm sagen.,I might tell him tonight.,A,Fear,d,1.504875,4000.0,16000
03a04Fd.wav,Data/EmoDB/wav/03a04Fd.wav,03,a04,Heute abend könnte ich es ihm sagen.,I might tell him tonight.,F,Happiness,d,1.6968125,4000.0,16000
03a04Lc.wav,Data/EmoDB/wav/03a04Lc.wav,03,a04,Heute abend könnte ich es ihm sagen.,I might tell him tonight.,L,Boredom,c,1.931,4000.0,16000
03a04Nc.wav,Data/EmoDB/wav/03a04Nc.wav,03,a04,Heute abend könnte ich es ihm sagen.,I might tell him tonight.,N,Neutral,c,1.5613125,4000.0,16000
03a04Ta.wav,Data/EmoDB/wav/03a04Ta.wav,03,a04,Heute abend könnte ich es ihm sagen.,I might tell him tonight.,T,Sadness,a,2.0635625,4000.0,16000
03a04Wc.wav,Data/EmoDB/wav/03a04Wc.wav,03,a04,Heute abend könnte ich es ihm sagen.,I might tell him tonight.,W,Anger,c,2.044125,4000.0,16000
03a05Aa.wav,Data/EmoDB/wav/03a05Aa.wav,03,a05,Das schwarze Stück Papier befindet sich da oben neben dem Holzstück.,The black piece of paper is up there next to the piece of wood.,A,Fear,a,3.087625,4000.0,16000
